Регион,Раздел,Название документа,Ссылка,Теги
Международные,Спинальная хирургия (NASS/CNS),Antibiotic Prophylaxis (NASS),https://www.spine.org/Portals/0/Assets/Downloads/ResearchClinicalCare/Guidelines/AntibioticProphylaxis.pdf,""
Международные,Спинальная хирургия (NASS/CNS),Preoperative Opioid Evaluation,https://www.cns.org/guidelines/perioperative-spine-preoperative/1-preoperative-opioid-evaluation,""
Международные,Детская нейрохирургия (ISPN/CNS),Pediatric Severe TBI (3rd Ed.),https://static1.squarespace.com/static/63e696a90a26c23e4c021cee/t/640b74d5f7e7f910db5435ae/1678472405928/Pediatric_3rd_Edition.pdf,""
Международные,Детская нейрохирургия (ISPN/CNS),Pediatric Hydrocephalus (CNS),https://www.cns.org/guidelines/pediatric-hydrocephalus/1-introduction-methodology-4,""
Международные,Детская нейрохирургия (ISPN/CNS),Pediatric CNS Cancers (NCCN),https://www.nccn.org/professionals/physician_gls/pdf/ped_cns.pdf,""
Международные,Детская нейрохирургия (ISPN/CNS),Vein of Galen Malformations (ISPN),https://ispn.guide/vascular-disorders-of-the-nervous-system-in-children/vein-of-galen-malformations-in-children-homepage/management-of-vein-of-galen-malformations-in-children/,""
Международные,Детская нейрохирургия (ISPN/CNS),Dural AV Fistulas in Children (ISPN),https://ispn.guide/vascular-disorders-of-the-nervous-system-in-children/dural-arteriovenous-fistulas-in-children-homepage-2025/management-of-dural-arteriovenous-fistulas-in-children-2025/,""
Международные,Детская нейрохирургия (ISPN/CNS),Cerebral AVMs in Children (ISPN),https://ispn.guide/vascular-disorders-of-the-nervous-system-in-children/cerebral-arteriovenous-malformations-in-children-homepage-2025/management-of-cerebral-arteriovenous-malformations-in-children-2025/,""
Международные,Детская нейрохирургия (ISPN/CNS),Intracranial Aneurysms in Children (ISPN),https://ispn.guide/vascular-disorders-of-the-nervous-system-in-children/intracranial-aneurysms-in-children-homepage-2/management-of-intracranial-aneurysms-in-children-revised/,""
Международные,Детская нейрохирургия (ISPN/CNS),Spinal Lipoma (ISPN),https://ispn.guide/congenital-disorders-of-the-nervous-system-in-children/spinal-lipoma-in-children-homepage/management-of-spinal-lipoma-in-children/,""
Международные,Детская нейрохирургия (ISPN/CNS),Syringomyelia in Children (ISPN),https://ispn.guide/congenital-disorders-of-the-nervous-system-in-children/syringomyelia-in-children-homepage/management-of-syringomyelia-in-children/tips-and-techniques-for-syringomyelia-in-children-2/,""
Международные,Детская нейрохирургия (ISPN/CNS),Myelomeningocele (CNS),https://www.cns.org/guidelines/pediatric-myelomeningocele/1-introduction-methods-2,""
Международные,Детская нейрохирургия (ISPN/CNS),Positional Plagiocephaly,https://www.cns.org/guidelines/management-positional-plagiocephaly/summary,""
Международные,Детская нейрохирургия (ISPN/CNS),Intramedullary Spinal Tumors (ISPN),https://ispn.guide/tumors-of-the-nervous-system-in-children/spinal-tumors-in-children/intramedullary-spinal-cord-tumors-in-children-homepage-2/,""
Международные,Детская нейрохирургия (ISPN/CNS),Selective Dorsal Rhizotomy (SDR),https://ispn.guide/functional-disorders-of-the-nervous-system-in-children/selective-dorsal-rhizotomy-for-the-management-of-spasticity-children-homepage/,""
Международные,Детская нейрохирургия (ISPN/CNS),Neurocysticercosis in Children,https://ispn.guide/infections-of-the-nervous-system-in-children/cysticercosis-of-the-central-nervous-system-in-children-homepage/management-of-neurocysticercosis-in-children/,""
Международные,Функциональная / Боль / Общее,DBS for Parkinson's,https://www.cns.org/guidelines/subthalamic-nucleus-globus-pallidus-intermus-deep-brain-stimulation-parkinson/congress-of-neurological-surgeons-systematic-revie,""
Международные,Функциональная / Боль / Общее,DBS for OCD,https://www.cns.org/guidelines/deep-brain-stimulation-obsessive-compulsive-disorder-2014/deep-brain-stimulation-obsessive-compulsive-disord,""
Международные,Функциональная / Боль / Общее,Cancer Pain: Neuroablative Proc.,https://www.cns.org/guidelines/neuroablative-procedures-patients-cancer-pain/guidelines-on-neuroablative-procedures-patients-wi,""
Международные,Функциональная / Боль / Общее,Occipital Neuralgia,https://www.cns.org/guidelines/occupital-nerve-stimulation-refractory-occupital-neuralgia/occipital-neuralgia-guideline,""
Международные,Функциональная / Боль / Общее,Chiari Malformation,https://www.cns.org/guidelines/chiari-malformation/1-imaging,""
